"property_id","price"
"d56159653f5d2abc5ed5acd7",611791140.580461
"45550aa81c0151f1fd9fd8fe",807496146.484344
"735deef3382aa15930482f3e",661944612.608992
"0dd49fa8bb7be52b851c6dc9",724138460.378233
"7d3220a91e78f8bc2924d1cd",644555622.403565
"d3054072b2175deec2c1f8dc",571018534.283446
"b7574b06d593fca4eac59815",559750596.09262
"79e822115c5c1a4531366001",587063143.222941
"d3ed5316a463d38c1bd321d0",779459356.259161
"2f1880c9b8f7ac2715e1236d",732628957.314953
"dcca1c7f109175760ff531c6",520467535.022824
"dfc4f3facf91bbd93ee0fa4d",497263178.90612
"30e134a6cbe61d7954d0f56b",475877810.69697
"385fee7bd9ad7722d45dd034",408843052.934461
"87199c236bf22903d1aafdd0",420379658.757219
"19e19ad0cd6b5e84d8aa970e",532008703.398861
"907f968e78d748fde69dd44f",656235080.698968
"be094e5db0f784e3aa013aae",584246082.566235
"7ab96f83915bc84f8c03c1bd",553610166.924865
"07f4aa9b9ff5b0b05d31e6c0",682943978.975027
"e9be8cd37abed8ab510ba1f5",688190804.483032
"5f6ad58df27b562db077b5ce",782308760.166871
"ee96d947484aaace40f9b77f",721007623.109421
"15c4aef8401208054697b81e",976905437.762355
"22d6cb11333f2839b8112b89",829093719.000095
"288c09c33907dadbae495c11",1099666831.51333
"f71d2bca0c5fe2720a1544c4",604439493.811296
"451744cf3ce55a98db8a3562",485362960.139091
"fba9ae05a6a8a9e0c6268a9f",612756593.040473
"1338e58f7dcebf5a1ea59388",537686082.139159
"a817e8da0ada143ac87277ee",536156199.655545
"46d8bb3e9a0ca584d3c7a317",695243309.799911
"b2506aa9463aebf01e1e00ca",546714366.56446
"7ec025b9b6e6f33bf65af41b",567574086.666751
"2ff531e27672ecd2362eed55",602722767.985043
"9b3cf0d1b91b9c6a2a887647",636920884.208767
"7db5291ce4602d9b2b266872",453359342.487133
"65d5918e826c33bb950fc008",682827919.693578
"395c34e4b8f52cbdb0522459",685964851.651414
"855f4b67d2bd6d18fd03d8e7",535901395.604617
"9ff06409b37e5b5dece4604a",656730194.342904
"0508cd7bd2c77ebb6fea1e56",739189412.711157
"b45fff2e718e54772d46a3fd",700744369.749784
"cf4d2297b73dbc357d21e31b",673549204.95341
"0ada7044c5b29925abc90879",753669751.712241
"6305f02255274ab5fb6bd39c",755001325.863474
"d9a94194ae1350512beff3e6",773157667.535585
"e3896296cb80d50d9ad3f903",688423916.454018
"6514f355887c64136edb5595",861737317.437968
"f03400cc18e12903b3ffbe5a",713877382.847757
"4e134600155a64783b3f8c3e",569984943.429676
"d63ebc63c82fbf66d8b6ffd3",803530918.567947
"1bd64811bd59706844230198",760797049.061547
"a83921284639eedd4a511cb6",834887464.403421
"a2f3f7a1cd573e2a33f52e2d",858504202.899935
"47344a66471fa51f61c64652",759140631.230199
"78fd849c9429091347d7e5c9",768457746.017595
"c3daf2abea55af99c9579319",1009974855.15101
"52864916eb1984abca41ec66",928930435.77533
"c62494a9d7aede44f2f84023",787451437.712405
"a2b576643f7a032371587e5e",979351095.004229
"e53bc68f0e97ccead24f3e56",540580120.560533
"fd82c710aad91bc90af490fe",665730890.154541
"d436abc2ee37ba3dd561e940",632879841.61493
"216a598114a403676011cb51",651309077.886613
"ea230d5eccd2b687888173bb",718273628.670046
"18bd0dd7580f2a7cb19a90b9",353050940.980412
